hex,token
0x0000,null
0x0001,>DMS
0x0002,>DEC
0x0003,>FRAC
0x0004,->
0x0005,Boxplot
0x0006,[
0x0007,]
0x0008,{
0x0009,}
0x000A,rad
0x000B,deg
0x000C,^-1
0x000D,^2
0x000E,transpose
0x000F,^3
0x0010,(
0x0011,)
0x0012,round(
0x0013,pxl-Test(
0x0014,augment(
0x0015,rowSwap(
0x0016,row+(
0x0017,*row(
0x0018,*row+(
0x0019,max(
0x001A,min(
0x001B,R>Pr(
0x001C,R>Ptheta
0x001D,P>Rx(
0x001E,P>Ry
0x001F,median(
0x0020,randM(
0x0021,mean(
0x0022,solve(
0x0023,seq(
0x0024,fnInt(
0x0025,nDeriv(
0x0027,fMin(
0x0028,fMax(
0x0029, 
0x002A,"
0x002B,COMMA
0x002C,i
0x002D,!
0x002E,CubicReg
0x002F,QuartReg
0x0030,0
0x0031,1
0x0032,2
0x0033,3
0x0034,4
0x0035,5
0x0036,6
0x0037,7
0x0038,8
0x0039,9
0x003A,.
0x003B,E
0x003C, or 
0x003D, xor 
0x003E,:
0x003F,NEWLINE
0x0040, and 
0x0041,A
0x0042,B
0x0043,C
0x0044,D
0x0045,E
0x0046,F
0x0047,G
0x0048,H
0x0049,I
0x004A,J
0x004B,K
0x004C,L
0x004D,M
0x004E,N
0x004F,O
0x0050,P
0x0051,Q
0x0052,R
0x0053,S
0x0054,T
0x0055,U
0x0056,V
0x0057,W
0x0058,X
0x0059,Y
0x005A,Z
0x005B,theta
0x005F,prgm
0x0064,Radian
0x0065,Degree
0x0066,Normal
0x0067,Sci
0x0068,Eng
0x0069,Float
0x006A,=
0x006B,<
0x006C,>
0x006D,<=
0x006E,>=
0x006F,!=
0x0070,+
0x0071,-
0x0072,Ans
0x0073,Fix
0x0074,Horiz
0x0075,Full
0x0076,Func
0x0077,Param
0x0078,Polar
0x0079,Seq
0x007A,IndpntAuto
0x007B,IndpntAsk
0x007C,DependAuto
0x007D,DependAsk
0x007F,square
0x0080,plus
0x0081,dot
0x0082,*
0x0083,/
0x0084,Trace
0x0085,ClrDraw
0x0086,ZStandard
0x0087,ZTrig
0x0088,ZBox
0x0089,Zoom In
0x008A,Zoom Out
0x008B,ZSquare
0x008C,ZInteger
0x008D,ZPrevious
0x008E,ZDecimal
0x008F,ZoomStat
0x0090,ZoomRcl
0x0092,ZoomSto
0x0093,Text(
0x0094, nPr 
0x0095, nCr 
0x0096,FnOn 
0x0097,FnOff 
0x0098,StorePic 
0x0099,RecallPic 
0x009A,StoreGDB 
0x009B,RecallGDB 
0x009C,Line(
0x009D,Vertical 
0x009E,Pt-On(
0x009F,Pt-Off(
0x00A0,Pt-Change(
0x00A1,Pxl-On(
0x00A2,Pxl-Off(
0x00A3,Pxl-Change(
0x00A4,Shade(
0x00A5,Circle(
0x00A6,Horizontal 
0x00A7,Tangent(
0x00A8,DrawInv 
0x00A9,DrawF 
0x00AB,rand
0x00AC,pi
0x00AD,getKey
0x00AE,'
0x00AF,?
0x00B0,-
0x00B1,int(
0x00B2,abs(
0x00B3,det(
0x00B4,identity(
0x00B5,dim(
0x00B6,sum(
0x00B7,prod(
0x00B8,not(
0x00B9,iPart(
0x00BA,fPart(
0x00BC,squareroot(
0x00BD,cuberoot(
0x00BE,ln(
0x00BF,e^(
0x00C0,log(
0x00C1,10^(
0x00C2,sin(
0x00C3,arcsin(
0x00C4,cos(
0x00C5,arccos(
0x00C6,tan(
0x00C7,arctan(
0x00C8,sinh(
0x00C9,arcsinh(
0x00CA,cosh(
0x00CB,arccosh(
0x00CC,tanh(
0x00CD,arctanh(
0x00CE,If 
0x00CF,Then
0x00D0,Else
0x00D1,While 
0x00D2,Repeat 
0x00D3,For(
0x00D4,End
0x00D5,Return
0x00D6,Lbl 
0x00D7,Goto 
0x00D8,Pause 
0x00D9,Stop
0x00DA,IS>(
0x00DB,DS<(
0x00DC,Input 
0x00DD,Prompt 
0x00DE,Disp 
0x00DF,DispGraph
0x00E0,Output(
0x00E1,ClrHome
0x00E2,Fill(
0x00E3,SortA(
0x00E4,SortD(
0x00E5,DispTable
0x00E6,Menu(
0x00E7,Send(
0x00E8,Get(
0x00E9,PlotsOn 
0x00EA,PlotsOff 
0x00EB,list
0x00EC,Plot1(
0x00ED,Plot2(
0x00EE,Plot3(
0x00F0,^
0x00F1,root
0x00F2,1-VarStats 
0x00F3,2-VarStats 
0x00F4,LinReg(a+bx) 
0x00F5,ExpReg 
0x00F6,LnReg 
0x00F7,PwrReg 
0x00F8,Med-Med 
0x00F9,QuadReg 
0x00FA,ClrList 
0x00FB,ClrTable
0x00FC,Histogram
0x00FD,xyLine
0x00FE,Scatter
0x00FF,LinReg(ax+b) 
0x5C00,[A]
0x5C01,[B]
0x5C02,[C]
0x5C03,[D]
0x5C04,[E]
0x5C05,[F]
0x5C06,[G]
0x5C07,[H]
0x5C08,[I]
0x5C09,[J]
0x5D00,L1
0x5D01,L2
0x5D02,L3
0x5D03,L4
0x5D04,L5
0x5D05,L6
0x5E10,Y1
0x5E11,Y2
0x5E12,Y3
0x5E13,Y4
0x5E14,Y5
0x5E15,Y6
0x5E16,Y7
0x5E17,Y8
0x5E18,Y9
0x5E19,Y0
0x5E20,X1T
0x5E21,Y1T
0x5E22,X2T
0x5E23,Y2T
0x5E24,X3T
0x5E25,Y3T
0x5E26,X4T
0x5E27,Y4T
0x5E28,X5T
0x5E29,Y5T
0x5E2A,X6T
0x5E2B,Y6T
0x5E40,r1
0x5E41,r2
0x5E42,r3
0x5E43,r4
0x5E44,r5
0x5E45,r6
0x5E80,u
0x5E81,v
0x5E82,w
0x6000,Pic1
0x6001,Pic2
0x6002,Pic3
0x6003,Pic4
0x6004,Pic5
0x6005,Pic6
0x6006,Pic7
0x6007,Pic8
0x6008,Pic9
0x6009,Pic0
0x6100,GDB1
0x6101,GDB2
0x6102,GDB3
0x6103,GDB4
0x6104,GDB5
0x6105,GDB6
0x6106,GDB7
0x6107,GDB8
0x6108,GDB9
0x6109,GDB0
0x6201,RegEq
0x6202,n
0x6203,xbar
0x6204,sumx
0x6205,sumx^2
0x6206,Sx
0x6207,sigmax
0x6208,minX
0x6209,maxX
0x620A,minY
0x620B,maxY
0x620C,ybar
0x620D,sumy
0x620E,sumy^2
0x620F,Sy
0x6210,sigmay
0x6211,sumxy
0x6212,r
0x6213,Med
0x6214,Q1
0x6215,Q3
0x6216,a
0x6217,b
0x6218,c
0x6219,d
0x621A,e
0x621B,x1
0x621C,x2
0x621D,x3
0x621E,y1
0x621F,y2
0x6220,y3
0x6221,eta
0x6221,eta
0x6222,p
0x6223,z
0x6224,t
0x6225,X^2
0x6226,F
0x6227,df
0x6228,pcarat
0x6229,pcarat1
0x622A,pcarat2
0x622B,xbar1
0x622C,Sx1
0x622D,n1
0x622E,xbar2
0x622F,Sx2
0x6230,n2
0x6231,Sxp
0x6232,lower
0x6233,upper
0x6234,s
0x6235,r^2
0x6236,R^2
0x6237,Factordf
0x6238,FactorSS
0x6239,FactorMS
0x623A,Errordf
0x623B,ErrorSS
0x623C,ErrorMS
0x7E00,Sequential
0x7E01,Simul
0x7E02,PolarGC
0x7E03,RectGC
0x7E04,CoordOn
0x7E05,CoordOff
0x7E06,Connected
0x7E07,Dot
0x7E08,AxesOn
0x7E09,AxesOff
0x7E0A,GridOn
0x7E0B,GridOff
0x7E0C,LabelOn
0x7E0D,LabelOff
0x7E0E,Web
0x7E0F,Time
0x7E10,uvAxes
0x7E11,uwAxes
0x7E12,vwAxes
0xAA00,Str1
0xAA01,Str2
0xAA02,Str3
0xAA03,Str4
0xAA04,Str5
0xAA05,Str6
0xAA06,Str7
0xAA07,Str8
0xAA08,Str9
0xAA09,Str0
0xBB00,npv(
0xBB01,irr(
0xBB02,bal(
0xBB03,sumprn(
0xBB04,sumInt(
0xBB05,>Nom(
0xBB06,>Eff(
0xBB07,dbd(
0xBB08,lcm(
0xBB09,gcd(
0xBB0A,randInt(
0xBB0B,randBin(
0xBB0C,sub(
0xBB0D,stdDev(
0xBB0E,variance(
0xBB0F,inString(
0xBB10,normalcdf(
0xBB11,invNorm(
0xBB12,tcdf(
0xBB13,X^2cdf(
0xBB14,Fcdf(
0xBB15,binompdf(
0xBB16,binomcdf(
0xBB17,poissonpdf(
0xBB18,poissoncdf(
0xBB19,geometpdf(
0xBB1A,geometcdf(
0xBB1B,normalpdf(
0xBB1C,tpdf(
0xBB1D,X^2pdf(
0xBB1E,Fpdf(
0xBB1F,randNorm(
0xBB20,tmv_Pmt
0xBB21,tmv_I%
0xBB22,tmv_PV
0xBB23,tmv_N
0xBB24,tmv_FV
0xBB25,conj(
0xBB26,real(
0xBB27,imag(
0xBB28,angle(
0xBB29,cumSum(
0xBB2A,expr(
0xBB2B,length(
0xBB2C,deltaList(
0xBB2D,ref(
0xBB2E,rref(
0xBB2F,>Rect
0xBB30,>Polar
0xBB31,e
0xBB32,SinReg 
0xBB33,Logistic 
0xBB34,LinRegTTest 
0xBB35,ShadeNorm(
0xBB36,Shade_t(
0xBB37,ShadeX^2
0xBB38,ShadeF(
0xBB39,Matr>list(
0xBB39,Matr>list(
0xBB3A,List>matr(
0xBB3A,List>matr(
0xBB3B,Z-Test(
0xBB3C,T-Test 
0xBB3D,2-SampZTest(
0xBB3E,1-PropZTest(
0xBB3F,2-PropZTest(
0xBB40,X^2-Test(
0xBB41,ZInterval 
0xBB42,2-SampZInt(
0xBB43,1-PropZInt(
0xBB44,2-PropZInt(
0xBB45,GraphStyle(
0xBB46,2-SampTTest 
0xBB47,2-SampFTest 
0xBB48,TInterval 
0xBB49,2-SampTInt 
0xBB4A,SetUpEditor 
0xBB4B,Pmt_End
0xBB4C,Pmt_Bgn
0xBB4D,Real
0xBB4E,re^thetai
0xBB4F,a+bi
0xBB50,ExprOn
0xBB51,ExprOff
0xBB52,ClrAllLists
0xBB53,GetCalc(
0xBB54,DelVar 
0xBB55,Equ>String(
0xBB56,String>Equ(
0xBB57,Clear Entries
0xBB58,Select(
0xBB59,ANOVA(
0xBB5A,ModBoxplot
0xBB5B,NormProbPlot
0xBB64,G-T
0xBB65,ZoomFit
0xBB66,DiagnosticOn
0xBB67,DiagnosticOff
0xBB68,Archive 
0xBB69,UnArchive 
0xBB6A,Asm(
0xBB6B,AsmComp(
0xBB6C,AsmPrgm
0xBB6D,compiled asm
0xBB6E,Á
0xBB6F,À
0xBB70,Â
0xBB71,Ä
0xBB72,á
0xBB73,à
0xBB74,â
0xBB75,ä
0xBB76,É
0xBB77,È
0xBB78,Ê
0xBB79,Ë
0xBB7A,é
0xBB7B,è
0xBB7C,ê
0xBB7D,ë
0xBB7F,Ì
0xBB80,Î
0xBB81,Ï
0xBB82,í
0xBB83,ì
0xBB84,î
0xBB85,ï
0xBB86,Ó
0xBB87,Ò
0xBB88,Ô
0xBB89,Ö
0xBB8A,ó
0xBB8B,ò
0xBB8C,ô
0xBB8D,ö
0xBB8E,Ú
0xBB8F,Ù
0xBB90,Û
0xBB91,Ü
0xBB92,ú
0xBB93,ù
0xBB94,û
0xBB95,ü
0xBB96,Ç
0xBB97,ç
0xBB98,Ñ
0xBB99,ñ
0xBB9A,´
0xBB9B,`
0xBB9C,"
0xBB9D,?
0xBB9E,!
0xBB9F,alpha
0xBBA0,beta
0xBBA1,gamma
0xBBA2,delta
0xBBA3,ldelta
0xBBA4,epsilon
0xBBA5,lambda
0xBBA6,mu
0xBBA7,xpi
0xBBA8,rho
0xBBA9,sigma
0xBBAB,phi
0xBBAC,omega
0xBBAD,^p
0xBBAE,chi
0xBBAE,chi
0xBBAF,F
0xBBB0,a
0xBBB1,b
0xBBB2,c
0xBBB3,d
0xBBB4,e
0xBBB5,f
0xBBB6,g
0xBBB7,h
0xBBB8,i
0xBBB9,j
0xBBBA,k
0xBBBC,l
0xBBBD,m
0xBBBE,n
0xBBBF,o
0xBBC0,p
0xBBC1,q
0xBBC2,r
0xBBC3,s
0xBBC4,t
0xBBC5,u
0xBBC6,v
0xBBC7,w
0xBBC8,x
0xBBC9,y
0xBBCA,z
0xBBCB,lsigma
0xBBCC,smallT1
0xBBCD,Í
0xBBCE,GarbageCollect
0xBBCF,~
0xBBD1,@
0xBBD2,#
0xBBD3,$
0xBBD4,amp
0xBBD5,`
0xBBD6,;
0xBBD7,\
0xBBD8,|
0xBBD9,_
0xBBDA,%
0xBBDB,...
0xBBDC,angle
0xBBDD,beta
0xBBDE,smallx1
0xBBDF,smallT2
0xBBE0,small0
0xBBE1,small1
0xBBE2,small2
0xBBE3,small3
0xBBE4,small4
0xBBE5,small5
0xBBE6,small6
0xBBE7,small7
0xBBE8,small8
0xBBE9,small9
0xBBEA,small10
0xBBEB,leftarrow
0xBBEC,rightarrow
0xBBED,uparrowsmall
0xBBEE,downarrowsmall
0xBBEF,smallx2
0xBBF0,integral
0xBBF1,uparrow
0xBBF2,downarrow
0xBBF3,squareroot
0xBBF4,highlightedequals
0xEF00,setDate(
0xEF01,setTime(
0xEF02,checkTmr(
0xEF03,setDtFmt(
0xEF04,setTmFmt(
0xEF05,timeCnv(
0xEF06,dayOfWk(
0xEF07,getDtStr(
0xEF08,getTmStr(
0xEF09,getDate
0xEF0A,getTime
0xEF0B,startTmr
0xEF0C,getDtFmt
0xEF0D,getTmFmt
0xEF0E,isClockOn
0xEF0F,ClockOff
0xEF10,ClockOn
0xEF11,OpenLib(
0xEF12,ExecLib
0xEF13,invT(
0xEF14,X^2GOF-Test(
0xEF15,LinRegTInt
0xEF16,Manual-Fit